Name,Age,Vintage,Distillery,Bottler,Price,ABV,Region,Availability,Country,Type,Subtype
"Laphroaig 1984 Cadenhead's","12 yrs","1984","Laphroaig","Cadenhead","N/A","58.3","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Old Parr Superior","18 yrs","N/A","N/A","Old Parr","$100","40","N/A","Overseas Specialty","Scotland","Scotch","Blend",
"Johnnie Walker Blue King George V","N/A","N/A","Johnnie Walker","Diageo","$350","43","N/A","Better Stores","Scotland","Scotch","Blend",
"Springbank 12 Ceramic Jug","12 yrs","N/A","Springbank","Springbank","N/A","43","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Glen Grant 1958 Gordon & Macphail","52 yrs","1958","Glen Grant","Gordon & MacPhail","$450","40","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Linlithgow 1982 Duncan Taylor","21 yrs","1982","Linlithgow","Duncan Taylor","$160","63","Lowland","Wide","Scotland","Scotch","Single Malt",
"Hanyu Ichiro's Malt King of Hearts","23 yrs","1986","Hanyu","Venture Whisky","$300","55.4","Japan","Overseas Specialty","Japan","Japanese","Single Malt",
"Old Forester Birthday Bourbon (2004)","8 yrs","1995","Brown-Forman","Brown-Forman","N/A","47","Kentucky","Collectors Only","USA","American","Bourbon",
"Glenrothes Select Reserve ","N/A","N/A","Glenrothes","Glenrothes","$45","40","Speyside","Wide","Scotland","Scotch","Single Malt",
"Port Ellen 1977 Signatory (Cask 3615)","19 yrs","1977","Port Ellen","Signatory","N/A","58","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Highland Park 1967","24 yrs","1967","Highland Park","Highland Park","N/A","43","Island","Collectors Only","Scotland","Scotch","Single Malt",
"Four Roses Single Barrel (K&L #1)","10 yrs","N/A","Four Roses ","Four Roses ","$60","59.2","Kentucky","Specialty Stores","USA","American","Bourbon",
"Highland Park 1993 Hart Brothers","11 yrs","N/A","Highland Park","Hart Brothers","$65","46","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Glendronach 1972 (Cask 712)","39 yrs","1972","Glendarroch","Glendronach","N/A","49.9","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Old Fitzgerald Bottled in Bond (bottled 1959)","6 yrs","1953","Heaven Hill","Stitzel-Weller","N/A","50","Kentucky","Collectors Only","USA","American","Bourbon",
"Ardbeg 2000 Single Cask 368","10 yrs","2000","Ardbeg","Ardbeg","N/A","55.9","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Ardbeg 1974 Connoisseurs Choice 20yo","20 yrs","1974","Ardbeg","Gordon & MacPhail","N/A","40","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Braes of Glenlivet SMWS 113.14","12 yrs","1994","Braes of Glenlivet","The Scotch Malt Whisky Society","N/A","57.8","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 110","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Glenfarclas 1960 Family Casks","N/A","1960","Glenfarclas","Glenfarclas","N/A","52.4","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Aberlour 18 year ","18 yrs","N/A","Aberlour","Aberlour","$70","43","Speyside","Overseas Wide","Scotland","Scotch","Single Malt",
"High West Rendezvous Rye","N/A","N/A","High West","High West","$48","46","N/A","Specialty Stores","USA","American","Rye",
"Port Ellen 1979 DL Platinum August","30 yrs","1979","Port Ellen","Douglas Laing","$405","53.3","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Thomas H. Handy Sazerac (2011)","6 yrs","2005","Buffalo Trace","Buffalo Trace","$80","64.3","Kentucky","Better Stores","USA","American","Rye",
"Pure Kentucky Small Batch","10 yrs","1993","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","$43","53.5","Kentucky","Better Stores","USA","American","Bourbon",
"Kilchoman 2010 Summer Release","3 yrs","2007","Kilchoman","Kilchoman","$90","46","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Scotch Blue International","N/A","N/A","N/A","Lotte Chilsung","N/A","40","N/A","Overseas Wide","Scotland","Scotch","Blend",
"Laphroaig 30","30 yrs","N/A","Laphroaig","Laphroaig","$240","43","Islay","Wide","Scotland","Scotch","Single Malt",
"Pappy Van Winkle 23 ","23 yrs","N/A","Buffalo Trace ","Buffalo Trace ","$250","47.8","Kentucky","Better Stores","USA","American","Bourbon",
"Four Roses Single Barrel 2011 Limited Edition","12 yrs","N/A","Four Roses ","Four Roses ","$80","55.4","Kentucky","Specialty Stores","USA","American","Bourbon",
"Glendronach 1974 Blackadder","26 yrs","1974","Glendarroch","Blackadder","N/A","45","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Jefferson's Ocean Aged","4 yrs","N/A","McLain & Kyne","Prichard's","N/A","41.15","Kentucky","Collectors Only","USA","American","Bourbon",
"MacPhail's 50 (1938)","50 yrs","1938","Gordon & MacPhail","Gordon & MacPhail","$2600","40","N/A","Collectors Only","Scotland","Scotch","Single Malt",
"Caperdonich 1972 Maltbarn","39 yrs","1972","Caperdonich","Maltbarn","$275","55.6","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Balvenie Tun 1401 Batch No. 3","N/A","N/A","Balvenie","Balvenie","$245","50.3","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 29","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Glen Grant 1980 Murray McDavid","16 yrs","1980","Glen Grant","Murray McDavid","N/A","58","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Sheep Dip (Yellow Label)","8 yrs","N/A","Sheep Dip","Spencerfield Spirit Co","N/A","40","N/A","Collectors Only","Scotland","Scotch","Vatted Malt",
"Clynelish 1990 Signatory","13 yrs","1990","Clynelish","Signatory","N/A","43","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glencadam 22yr Chieftain's","22 yrs","1985","Glencadam","Ian Macleod","$125","43","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"St. George","8 yrs","N/A","St. George Spirits","St. George Spirits","$50","43","California","Better Stores","USA","American","Single Malt",
"Red Hackle Blended Scotch Whisky","N/A","N/A","N/A","Red Hackle","N/A","43","N/A","Collectors Only","Scotland","Scotch","Blend",
"Linkwood 1988 Signatory","12 yrs","1988","Linkwood","Signatory","N/A","43","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Caol Ila 10 Old Malt Cask","10 yrs","N/A","Caol Ila","Douglas Laing","N/A","50","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glenury Royal 1968","36 yrs","1968","Glenury Royal","Gordon & MacPhail","$670","51.2","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Springbank 14 Port Wood","14 yrs","1989","Springbank","Springbank","$85","52.8","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Allt-A-Bhainne 1976 Chieftain's","31 yrs","1976","Allt-A-Bhainne","Ian Macleod","$140","43","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenfarclas 25 ","25 yrs","N/A","Glenfarclas","Glenfarclas","$140","43","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Canadian Club Classic ","12 yrs","N/A","Canadian Club","Canadian Club","$23","40","Canada","Wide","Canada","Canadian","Blend",
"Crown Royal Special Reserve","N/A","N/A","Crown Royal","Crown Royal","$45","40","Canada","Wide","Canada","Canadian","Blend",
"Glentauchers 1976 Glenhaven","18 yrs","1976","Glentauchers","Glenhaven","N/A","63.2","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Glencraig 1974 Duncan Taylor (Rarest)","30 yrs","1974","Glencraig","Duncan Taylor","$300","40.1","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Jameson","N/A","N/A","Jameson","Jameson","$22","40","Ireland","Wide","Ireland","Irish","Blend",
"Buffalo Trace Single Oak Barrel 40","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Macallan 1980 Signatory","16 yrs","1980","Macallan","Signatory","$120","55.1","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Lochside 1981 The Whisky Exchange","29 yrs","1981","Lochside","The Whisky Exchange","N/A","57.5","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Glendarroch 1966 Lonach","42 yrs","1966","Glendarroch","Duncan Taylor","$170","41.5","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Ben Nevis 1966 Blackadder","34 yrs","1966","Ben Nevis","Blackadder","N/A","49.7","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Port Ellen 1982 The Whisky Fair","24 yrs","1982","Port Ellen","The Whisky Fair","$190","59.6","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"The Smokey Peaty One","N/A","N/A","Jon Mark and Robbo","Jon Mark and Robbo","$30","40","N/A","Specialty Stores","Scotland","Scotch","Vatted Malt",
"Caol Ila 1991 Murray McDavid","19 yrs","1991","Caol Ila","Caol Ila","$105","51.5","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Bowmore 21 (1988) Port Matured","21 yrs","1988","Bowmore","Bowmore","$170","51.5","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Laphroaig 1998 Van Wees The Ultimate","13 yrs","1998","Laphroaig","Van wees","$100","60.1","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Woodford Reserve Seasoned Oak Finish","N/A","N/A","Brown-Forman","Brown-Forman","$90","50.2","Kentucky","Better Stores","USA","American","Bourbon",
"Clynelish 1988 Hart Brothers ","14 yrs","1988","Clynelish","Hart Brothers ","N/A","53.3","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Old Ezra 7 yo 101","7 yrs","N/A","Heaven Hill","Luxco","$18","50.5","Kentucky","Specialty Stores","USA","American","Bourbon",
"Laphroaig 1998 Liquid Library","11 yrs","1998","Laphroaig","Whisky Agency","$75","54.5","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Caol Ila 1984 Dewar Rattray","21 yrs","1984","Caol Ila","A.D. Rattray","N/A","58.5","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Springbank 10 (100 Proof)","10 yrs","N/A","Springbank","Springbank","$70","50","Campbeltown","Wide","Scotland","Scotch","Single Malt",
"Hudson Four Grain","N/A","N/A","Tuthilltown Spirits","Tuthilltown Spirits","$40","46","New York","Specialty Stores","USA","American","Other",
"Highland Park 1986 Signatory Vintage","22 yrs","1986","Highland Park","Signatory","$190","56","Highland","Wide","Scotland","Scotch","Single Malt",
"Longrow 1995 Tokaji Wood","10 yrs","1995","Longmorn","Longrow","$75","55.6","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Arran Chateau Margaux","na yrs","N/A","Arran","Arran","$85","58.6","Island","Wide","Scotland","Scotch","Single Malt",
"Caol Ila 1992 Blackadder Raw Cask","14 yrs","1992","Caol Ila","Blackadder","$80","56.6","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Clynelish 1981 Manger's Dram","17 yrs","1981","Clynelish","Clynelish","N/A","61.8","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Littlemill 1990 Murray McDavid Mission Gold ","18 yrs","1990","Littlemill","Murray McDavid","$100","53.5","Lowland","Collectors Only","Scotland","Scotch","Single Malt",
"Stronachie 17","17 yrs","1990","Stronachie","A.D. Rattray","$95","46","Speyside","Wide","Scotland","Scotch","Single Malt",
"Old Charter 12","12 yrs","N/A","Old Charter","Old Charter","$20","45","Kentucky","Wide","USA","American","Bourbon",
"J.T.S. Brown BIB","N/A","N/A","Heaven Hill","Heaven Hill","$11","50","Kentucky","Specialty Stores","USA","American","Bourbon",
"Magilligan 1992 Rum Wood Finish","14 yrs","1992","Magilligan","Cooley","N/A","46","Ireland","Wide","Ireland","Irish","Single Malt",
"Glenrothes 30.46 SMWSA","14 yrs","1990","Glenrothes","The Scotch Malt Whisky Society","$110","58.6","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"High West Double Rye","N/A","N/A","High West","High West","$33","46","N/A","Better Stores","USA","American","Rye",
"Girvan 1965 Jim McEwan's Celtic Heartlands","42 yrs","1965","Girvan","Murray McDavid ","$300","45","N/A","Specialty Stores","Scotland","Scotch","Grain",
"The Blend of Nikka 17","17 yrs","N/A","Nikka","Nikka","N/A","45","Japan","Overseas Specialty","Japan","Japanese","Blend",
"Bowmore Darkest","N/A","N/A","Bowmore","Bowmore","$65","43","Islay","Wide","Scotland","Scotch","Single Malt",
"Glenfarclas "Glen First Class" 2000 Malts of Scotland","N/A","N/A","Glenfarclas","Malts of Scotland","$45","50","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Bowmore 21 (1972) Single Cask","21 yrs","1972","Bowmore","Bowmore","N/A","49.1","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Clynelish 1982 Cadenhead's","11 yrs","1982","Clynelish","Cadenhead","N/A","66.3","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Glen Grant 1960 Gordon & Macphail","45 yrs","1960","Glen Grant","Gordon & MacPhail","$370","40","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Willett 17 yo  Barrel 1605 (Dug'z & Willy'z)","17 yrs","1991","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","N/A","72.9","Kentucky","Collectors Only","USA","American","Bourbon",
"The Last Drop","48 yrs","1960","The Last Drop Distillers","The Last Drop Distillers","$1800","52","N/A","Specialty Stores","Scotland","Scotch","Blend",
"Abrahm Bowman Limited Edition (#3)","17 yrs","1994","Abraham Bowman","Buffalo Trace","$70","73.75","Virginia","Specialty Stores","USA","American","Bourbon",
"Evan Williams Single Barrel 2000 (The Party Source)","9 yrs","2000","Heaven Hill","Heaven Hill","$23","43.3","Kentucky","Specialty Stores","USA","American","Bourbon",
"Macallan Fine Oak 30","30 yrs","N/A","Macallan","Macallan","$850","43","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Glen Grant 21 G&M (US)","21 yrs","N/A","Glen Grant","Gordon & MacPhail","$120","43","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Bowmore 1995 Single Malts of Scotland","13 yrs","1995","Bowmore","Speciality Drinks Ltd","$100","56.4","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"BenRiach 1976 (La Maison Du Whisky) ","30 yrs","1976","BenRiach","BenRiach","$300","53","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glen Grant 1990 Gordon & Macphail (2007)","16 yrs","1990","Glen Grant","Gordon & MacPhail","$75","58.5","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Springbank 1972 Chieftain's","30 yrs","1972","Springbank","Ian Macleod","N/A","57.8","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Karuizawa 17","17 yrs","N/A","Karuizawa","Karuizawa","N/A","40","Japan","Overseas Specialty","Japan","Japanese","Single Malt",
"Ardbeg Ar2 Elements of Islay","NA yrs","N/A","Ardbeg","Speciality Drinks Ltd","$70","60.5","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Willett 17 yo Barrel 11","17 yrs","1993","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","N/A","68.6","Kentucky","Specialty Stores","USA","American","Bourbon",
"Port Charlotte PC 9 An Ataireachd Ard","9 yrs","N/A","Port Charlotte","Port Charlotte","$90","59.2","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Ardbeg 17","17 yrs","N/A","Ardbeg","Ardbeg","$250","40","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Glenlivet XXV","25 yrs","1980","Glenlivet","Glenlivet","$260","43","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Springbank 15 SMOS","15 yrs","1992","Springbank","Single Malts of Scotland","$90","46","Campbeltown","Overseas Specialty","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 68","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"W.L. Weller Special Reserve","N/A","N/A","Buffalo Trace","Buffalo Trace","$19","45","Kentucky","Wide","USA","American","Bourbon",
"Basil Hayden's","8 yrs","N/A","Jim Beam","Jim Beam","$36","40","Kentucky","Wide","USA","American","Bourbon",
"Blair Atholl 1966 Cadenhead's","23 yrs","58.4","Blair Athol","Cadenhead","N/A","58.4","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 184","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Bunnahabhain 1967 Duncan Taylor Cask 3324","36 yrs","1967","Bunnahabhain","Duncan Taylor","N/A","0","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 167","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Mortlach 1992 Signatory","16 yrs","1992","Morlach","Signatory","$65","59.2","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Ledaig-Tobermory 1973 The Whisky Fair","33 yrs","1973","Ledaig","The Whisky Fair","$210","48","Island","Overseas Specialty","Scotland","Scotch","Single Malt",
"Four Roses Single Barrel OBSV  (Binny's)","8 yrs","2000","Four Roses ","Four Roses ","$55","53.8","Kentucky","Specialty Stores","USA","American","Bourbon",
"Jim Beam's Choice","5 yrs","N/A","Jim Beam","Jim Beam","$15","40","Kentucky","Wide","USA","American","Bourbon",
"Glen Elgin 1975 Perfect Dram","36 yrs","1975","Glen Elgin","The Perfect Dram","$220","48.2","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Springbank 25 (Gold Wax)","25 yrs","N/A","Springbank","Springbank","N/A","46","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Balvenie 17 Sherry Oak","17 yrs","N/A","Balvenie","Balvenie","$80","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Cragganmore 1997 Signatory","11 yrs","1997","Cragganmore","Signatory","$56","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Bruichladdich Links Carnoustie","14 yrs","N/A","Bruichladdich","Bruichladdich","$65","46","Islay","Wide","Scotland","Scotch","Single Malt",
